goos: linux
goarch: amd64
pkg: github.com/arloliu/mebo/blob
cpu: Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz
BenchmarkBlobSet_Iteration_FullScan/AllNumerics-8                                              	    3904	    309601 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_Iteration_FullScan/AllNumericValues-8                                         	   58239	     20509 ns/op	    1712 B/op	      44 allocs/op
BenchmarkBlobSet_Iteration_FullScan/AllTimestamps-8                                            	  111543	     10762 ns/op	    1232 B/op	      34 allocs/op
BenchmarkBlobSet_Iteration_EarlyTermination/First10-8                                          	  250065	      4470 ns/op	    1048 B/op	      29 allocs/op
BenchmarkBlobSet_Iteration_EarlyTermination/First100-8                                         	   39817	     29881 ns/op	    1048 B/op	      29 allocs/op
BenchmarkBlobSet_Iteration_EarlyTermination/First1000-8                                        	    4194	    285619 ns/op	    1048 B/op	      29 allocs/op
BenchmarkBlobSet_Access_Sequential-8                                                           	    9054	    134233 ns/op	    6400 B/op	     100 allocs/op
BenchmarkBlobSet_Access_Random-8                                                               	    1180	   1016290 ns/op	    6400 B/op	     100 allocs/op
BenchmarkBlobSet_Access_Strided/Stride10-8                                                     	    1087	   1108462 ns/op	    6400 B/op	     100 allocs/op
BenchmarkBlobSet_Access_Strided/Stride50-8                                                     	    5661	    213419 ns/op	    1280 B/op	      20 allocs/op
BenchmarkBlobSet_Access_Strided/Stride100-8                                                    	   10000	    100265 ns/op	     640 B/op	      10 allocs/op
BenchmarkBlobSet_Lookup_ByID_vs_ByName/ByID-8                                                  	    3816	    316738 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_Lookup_ByID_vs_ByName/ByName-8                                                	    3924	    299420 ns/op	    9248 B/op	     254 allocs/op
BenchmarkBlobSet_GlobalIndexing_Overhead/Blobs_1-8                                             	  892018	      1331 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlobSet_GlobalIndexing_Overhead/Blobs_2-8                                             	  900660	      1334 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlobSet_GlobalIndexing_Overhead/Blobs_5-8                                             	  884528	      1345 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlobSet_GlobalIndexing_Overhead/Blobs_:-8                                             	  883371	      1363 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlobSet_GlobalIndexing_Overhead/Blobs_D-8                                             	  830047	      1378 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlobSet_RealWorld_Dashboard-8                                                         	     808	   1475559 ns/op	   46720 B/op	    1290 allocs/op
BenchmarkBlobSet_RealWorld_Alert-8                                                             	   28773	     41673 ns/op	    3320 B/op	      84 allocs/op
BenchmarkBlobSet_RealWorld_Aggregation-8                                                       	   55455	     21629 ns/op	    1728 B/op	      45 allocs/op
PASS
ok  	github.com/arloliu/mebo/blob	73.821s
